adult,budget,original_language,popularity,revenue,runtime,title,vote_average,vote_count,genres_list,production_companies_list,production_countries_list,spoken_languages_list,release_year,movieId
False,30000000,en,21.946943,373554033.0,81.0,Toy Story,7.7,5415.0,"['Animation', 'Comedy', 'Family']",['Pixar Animation Studios'],['United States of America'],['English'],1995,1
False,65000000,en,17.015539,262797249.0,104.0,Jumanji,6.9,2413.0,"['Adventure', 'Fantasy', 'Family']","['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America'],"['English', 'Français']",1995,2
False,60000000,en,17.924927,187436818.0,170.0,Heat,7.7,1886.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America'],"['English', 'Español']",1995,6
False,58000000,en,14.686036,352194034.0,130.0,GoldenEye,6.6,1194.0,"['Adventure', 'Action', 'Thriller']","['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']","['English', 'Pусский', 'Español']",1995,10
False,52000000,en,10.137389,116112375.0,178.0,Casino,7.8,1343.0,"['Drama', 'Crime']","['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['France', 'United States of America']",['English'],1995,16
False,16500000,en,10.673167,135000000.0,136.0,Sense and Sensibility,7.2,364.0,"['Drama', 'Romance']","['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']",['English'],1995,17
False,4000000,en,9.026586,4300000.0,98.0,Four Rooms,6.5,539.0,"['Crime', 'Comedy']","['Miramax Films', 'A Band Apart']",['United States of America'],['English'],1995,18
False,30000000,en,8.205448,212385533.0,90.0,Ace Ventura: When Nature Calls,6.1,1128.0,"['Crime', 'Comedy', 'Adventure']","['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],['English'],1995,19
False,30250000,en,12.669608,115101622.0,105.0,Get Shorty,6.4,305.0,"['Comedy', 'Thriller', 'Crime']","['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],['English'],1995,21
False,50000000,en,11.065939,30303072.0,132.0,Assassins,6.0,394.0,"['Action', 'Adventure', 'Crime', 'Thriller']","['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['France', 'United States of America']","['English', 'Español', 'Nederlands']",1995,23
False,3600000,en,10.332025,49800000.0,112.0,Leaving Las Vegas,7.1,365.0,"['Drama', 'Romance']","['United Artists', 'Intial Productions']",['United States of America'],['English'],1995,25
False,18000000,fr,9.822423,1738611.0,108.0,The City of Lost Children,7.6,308.0,"['Fantasy', 'Science Fiction', 'Adventure']","['Procirep', 'Constellation Productions', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']","['广州话 / 廣州話', 'Français']",1995,29
False,29500000,en,12.297305,168840000.0,129.0,Twelve Monkeys,7.4,2470.0,"['Science Fiction', 'Thriller', 'Mystery']","['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America'],"['English', 'Français']",1995,32
False,30000000,en,14.404764,254134910.0,89.0,Babe,6.0,756.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']",['English'],1995,34
False,11000000,en,6.891317,39363635.0,122.0,Dead Man Walking,7.3,350.0,['Drama'],"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['United States of America', 'United Kingdom']",['English'],1995,36
False,18000000,en,10.870138,122195920.0,101.0,Mortal Kombat,5.4,452.0,"['Action', 'Fantasy']","['New Line Cinema', 'Threshold Entertainment']",['United States of America'],['English'],1995,44
False,55000000,en,13.280069,346079773.0,81.0,Pocahontas,6.7,1509.0,"['Adventure', 'Animation', 'Drama', 'Family']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],['English'],1995,48
False,6000000,en,16.302466,23341568.0,106.0,The Usual Suspects,8.1,3334.0,"['Drama', 'Crime', 'Thriller']","['Blue Parrot Productions', 'Bad Hat Harry Productions']",['United States of America'],"['Español', 'English', 'Français', 'Magyar']",1995,50
False,3500000,en,14.56965,28215918.0,91.0,Friday,7.0,513.0,['Comedy'],['New Line Cinema'],['United States of America'],['English'],1995,69
False,19000000,en,15.339153,25836616.0,108.0,From Dusk Till Dawn,6.9,1644.0,"['Horror', 'Action', 'Thriller', 'Crime']","['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['United States of America'],"['English', 'Español']",1996,70
False,50000000,en,14.957626,150270147.0,108.0,Broken Arrow,5.7,459.0,"['Action', 'Adventure', 'Drama', 'Thriller']","['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']",['United States of America'],['English'],1996,95
False,7000000,en,6.904831,560069.0,91.0,Bottle Rocket,6.8,285.0,"['Comedy', 'Crime', 'Drama']","['Gracie Films', 'Columbia Pictures Corporation']",['United States of America'],"['Español', 'English']",1996,101
False,12000000,en,9.592265,41205099.0,92.0,Happy Gilmore,6.5,767.0,['Comedy'],"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']",['United States of America'],['English'],1996,104
False,24000000,en,5.951077,182016617.0,135.0,The Bridges of Madison County,7.3,397.0,"['Drama', 'Romance']","['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",['United States of America'],['English'],1995,105
False,72000000,en,20.755149,210000000.0,177.0,Braveheart,7.7,3404.0,"['Action', 'Drama', 'History', 'War']","['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",['United States of America'],"['English', 'Français', 'Latin', '']",1995,110
False,1300000,en,14.092713,28262574.0,114.0,Taxi Driver,8.1,2632.0,"['Crime', 'Drama']","['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']",['United States of America'],"['English', 'Español']",1976,111
False,31000000,en,6.49968,185260553.0,117.0,The Birdcage,6.7,303.0,['Comedy'],['United Artists'],['United States of America'],"['English', 'Français']",1996,141
False,19000000,en,9.262184,141407024.0,118.0,Bad Boys,6.5,1729.0,"['Action', 'Comedy', 'Crime', 'Thriller']","['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],['English'],1995,145
False,100000000,en,13.321354,336529144.0,121.0,Batman Forever,5.2,1529.0,"['Action', 'Crime', 'Fantasy']","['Warner Bros.', 'Polygram Filmed Entertainment']","['United Kingdom', 'United States of America']",['English'],1995,153
False,50000000,en,12.812539,287928194.0,100.0,Casper,6.0,1045.0,"['Fantasy', 'Comedy', 'Family']","['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",['United States of America'],['English'],1995,158
False,53000000,en,8.657365,157387195.0,116.0,Crimson Tide,7.0,508.0,"['Action', 'Thriller', 'Drama']","['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],['English'],1995,161
False,7000000,en,6.950458,25405445.0,104.0,Desperado,6.8,898.0,"['Thriller', 'Action', 'Crime']","['Columbia Pictures', 'Los Hooligans Productions']",['United States of America'],['English'],1995,163
